location,property_type,developer,furnishing_status,bedrooms,bathrooms,size_sqft,price,price_per_sqft,listing_category,year_built,property_age,squarefeet,neighborhood,yearbuilt
Rural,Unknown,Unknown,Unknown,4,1,2126,215355.28361820136,101.29599417601193,Mid-Range,1969,56,2126,Rural,1969
Rural,Unknown,Unknown,Unknown,3,2,2459,195014.22162584803,79.306312169926,Mid-Range,1980,45,2459,Rural,1980
Suburb,Unknown,Unknown,Unknown,2,1,1860,306891.0120763329,164.99516778297468,High-End,1970,55,1860,Suburb,1970
Urban,Unknown,Unknown,Unknown,2,1,2294,206786.78715332696,90.14245298750086,Mid-Range,1996,29,2294,Urban,1996
Suburb,Unknown,Unknown,Unknown,5,2,2130,272436.239065061,127.90433758923051,High-End,2001,24,2130,Suburb,2001
Suburb,Unknown,Unknown,Unknown,2,3,2095,198208.80390657103,94.61040759263534,Mid-Range,2020,5,2095,Suburb,2020
Suburb,Unknown,Unknown,Unknown,2,1,2724,343429.3191099182,126.07537412258377,High-End,1993,32,2724,Suburb,1993
Rural,Unknown,Unknown,Unknown,4,3,2044,184992.321268412,90.50504954423288,Budget,1957,68,2044,Rural,1957
Urban,Unknown,Unknown,Unknown,4,3,2638,377998.58815204125,143.28983629721048,High-End,1959,66,2638,Urban,1959
Urban,Unknown,Unknown,Unknown,5,2,1121,95961.92601406392,85.60385906696158,Budget,2004,21,1121,Urban,2004
Suburb,Unknown,Unknown,Unknown,5,3,1466,191113.7686788604,130.3640986895364,Mid-Range,1951,74,1466,Suburb,1951
Suburb,Unknown,Unknown,Unknown,3,3,2238,253358.64500167352,113.20761617590416,Mid-Range,1987,38,2238,Suburb,1987
Suburb,Unknown,Unknown,Unknown,2,2,1330,132172.3926169813,99.37773880976037,Budget,1992,33,1330,Suburb,1992
Suburb,Unknown,Unknown,Unknown,4,3,2482,231157.02767588635,93.13337134403156,Mid-Range,1989,36,2482,Suburb,1989
Urban,Unknown,Unknown,Unknown,4,1,1087,118393.82316264397,108.9179605912088,Budget,1976,49,1087,Urban,1976
Suburb,Unknown,Unknown,Unknown,2,2,2396,267377.3996858498,111.59323860010426,High-End,1993,32,2396,Suburb,1993
Rural,Unknown,Unknown,Unknown,5,2,2123,190773.14856300573,89.86017360480722,Mid-Range,1956,69,2123,Rural,1956
Suburb,Unknown,Unknown,Unknown,4,2,1871,172989.80490101498,92.45847402512827,Budget,1977,48,1871,Suburb,1977
Urban,Unknown,Unknown,Unknown,5,1,2687,239222.6677969504,89.0296493475811,Mid-Range,1979,46,2687,Urban,1979
Rural,Unknown,Unknown,Unknown,4,3,1130,143050.20178240183,126.5930989224795,Budget,1962,63,1130,Rural,1962
Urban,Unknown,Unknown,Unknown,4,3,2685,405523.82831733953,151.0330831721935,High-End,1999,26,2685,Urban,1999
Rural,Unknown,Unknown,Unknown,3,3,2332,263954.1540627713,113.18788767700313,High-End,1978,47,2332,Rural,1978
Suburb,Unknown,Unknown,Unknown,4,1,1769,148310.62016790514,83.83867731368295,Budget,1963,62,1769,Suburb,1963
Rural,Unknown,Unknown,Unknown,2,3,1343,151733.92248999208,112.98132724496804,Budget,2013,12,1343,Rural,2013
Urban,Unknown,Unknown,Unknown,2,3,2515,307961.1073823952,122.44974448604182,High-End,2013,12,2515,Urban,2013
Rural,Unknown,Unknown,Unknown,2,1,2437,276162.86180465267,113.32082962849925,High-End,2004,21,2437,Rural,2004
Rural,Unknown,Unknown,Unknown,5,1,1805,243985.2054715822,135.17185898702616,Mid-Range,2002,23,1805,Rural,2002
Rural,Unknown,Unknown,Unknown,4,3,1385,88030.54185271678,63.55995801640201,Budget,1996,29,1385,Rural,1996
Urban,Unknown,Unknown,Unknown,5,1,2215,282908.98169371625,127.72414523418341,High-End,1952,73,2215,Urban,1952
Rural,Unknown,Unknown,Unknown,3,1,1955,240976.55176671065,123.26166330778038,Mid-Range,2014,11,1955,Rural,2014
Rural,Unknown,Unknown,Unknown,4,1,1276,104747.33458904953,82.09038760897299,Budget,1965,60,1276,Rural,1965
Suburb,Unknown,Unknown,Unknown,2,2,2184,347207.38956128363,158.97774247311523,High-End,1959,66,2184,Suburb,1959
Rural,Unknown,Unknown,Unknown,3,2,1459,77493.9314389322,53.11441496842508,Budget,2006,19,1459,Rural,2006
Suburb,Unknown,Unknown,Unknown,3,3,2337,331851.0816694101,141.99875124921272,High-End,2008,17,2337,Suburb,2008
Rural,Unknown,Unknown,Unknown,4,3,1021,110408.67080143408,108.13777747447021,Budget,2013,12,1021,Rural,2013
Urban,Unknown,Unknown,Unknown,2,1,1252,127932.75677961828,102.1827130827622,Budget,1993,32,1252,Urban,1993
Rural,Unknown,Unknown,Unknown,5,3,1747,228683.2269961876,130.90053062174448,Mid-Range,1982,43,1747,Rural,1982
Rural,Unknown,Unknown,Unknown,4,2,1856,124711.70785494654,67.19380811150137,Budget,1959,66,1856,Rural,1959
Suburb,Unknown,Unknown,Unknown,2,3,2584,415850.77083678055,160.93296085014728,High-End,2001,24,2584,Suburb,2001
Urban,Unknown,Unknown,Unknown,3,3,1474,184819.9611900152,125.38667651968467,Budget,1959,66,1474,Urban,1959
Suburb,Unknown,Unknown,Unknown,4,2,2082,164855.98777549056,79.18155032444311,Budget,1966,59,2082,Suburb,1966
Suburb,Unknown,Unknown,Unknown,3,2,1510,156928.01471681413,103.92583756080406,Budget,2002,23,1510,Suburb,2002
Urban,Unknown,Unknown,Unknown,2,1,2705,282457.8613741379,104.42065115494933,High-End,1971,54,2705,Urban,1971
Urban,Unknown,Unknown,Unknown,5,1,2499,287591.6728221959,115.08270220976227,High-End,2021,4,2499,Urban,2021
Rural,Unknown,Unknown,Unknown,5,1,1699,156313.5941951282,92.00329263986356,Budget,1960,65,1699,Rural,1960
Suburb,Unknown,Unknown,Unknown,3,3,1975,279764.3710402287,141.6528460963183,High-End,2016,9,1975,Suburb,2016
Suburb,Unknown,Unknown,Unknown,3,3,2806,366494.48060208897,130.6110052038806,High-End,1962,63,2806,Suburb,1962
Urban,Unknown,Unknown,Unknown,3,3,1189,244539.2816890332,205.66802496975038,Mid-Range,2007,18,1189,Urban,2007
Rural,Unknown,Unknown,Unknown,4,2,1957,239299.9944944986,122.27899565380612,Mid-Range,1994,31,1957,Rural,1994
Urban,Unknown,Unknown,Unknown,2,3,1686,249148.34468610145,147.77481891227845,Mid-Range,1994,31,1686,Urban,1994
Rural,Unknown,Unknown,Unknown,3,2,1957,304197.5798399542,155.44076639752387,High-End,1992,33,1957,Rural,1992
Rural,Unknown,Unknown,Unknown,3,3,1562,89378.55062087673,57.22058298391596,Budget,2013,12,1562,Rural,2013
Rural,Unknown,Unknown,Unknown,3,3,2899,427295.4046033164,147.39406850752547,High-End,1988,37,2899,Rural,1988
Suburb,Unknown,Unknown,Unknown,5,2,2590,328501.8015463275,126.83467241170945,High-End,1957,68,2590,Suburb,1957
Urban,Unknown,Unknown,Unknown,3,2,2267,215867.4189845816,95.22162284277971,Mid-Range,1989,36,2267,Urban,1989
Rural,Unknown,Unknown,Unknown,2,2,1831,190058.8928999779,103.80059688693494,Mid-Range,2000,25,1831,Rural,2000
Urban,Unknown,Unknown,Unknown,5,1,2528,259751.15444635932,102.74966552466745,Mid-Range,1969,56,2528,Urban,1969
Rural,Unknown,Unknown,Unknown,2,1,2154,166810.3886512713,77.44214886317144,Budget,2015,10,2154,Rural,2015
Suburb,Unknown,Unknown,Unknown,5,3,2508,352932.1624639027,140.72255281654813,High-End,2007,18,2508,Suburb,2007
Urban,Unknown,Unknown,Unknown,5,3,2842,422042.91851435706,148.50208251736703,High-End,2014,11,2842,Urban,2014
Suburb,Unknown,Unknown,Unknown,4,3,1646,91423.61964633202,55.54290379485542,Budget,1994,31,1646,Suburb,1994
Rural,Unknown,Unknown,Unknown,5,1,1020,220053.8603574218,215.73907878178608,Mid-Range,1983,42,1020,Rural,1983
Suburb,Unknown,Unknown,Unknown,5,3,1840,216148.20845399628,117.47185242065015,Mid-Range,1961,64,1840,Suburb,1961
Suburb,Unknown,Unknown,Unknown,2,2,1166,161587.15372788318,138.5824646036734,Budget,1972,53,1166,Suburb,1972
Urban,Unknown,Unknown,Unknown,2,2,2297,194967.9094711132,84.87936851158607,Mid-Range,2017,8,2297,Urban,2017
Rural,Unknown,Unknown,Unknown,3,1,1387,152828.720291152,110.18653229354868,Budget,2002,23,1387,Rural,2002
Rural,Unknown,Unknown,Unknown,4,2,1600,256725.9809436184,160.4537380897615,Mid-Range,2002,23,1600,Rural,2002
Suburb,Unknown,Unknown,Unknown,5,2,1315,98039.30310069738,74.55460311840105,Budget,1989,36,1315,Suburb,1989
Urban,Unknown,Unknown,Unknown,4,3,1013,164858.18694892063,162.74253400683182,Budget,2002,23,1013,Urban,2002
Urban,Unknown,Unknown,Unknown,3,2,1241,199373.182099092,160.6552635770282,Mid-Range,1985,40,1241,Urban,1985
Urban,Unknown,Unknown,Unknown,4,2,1776,181245.4467436535,102.05261640971482,Budget,2014,11,1776,Urban,2014
Suburb,Unknown,Unknown,Unknown,5,1,2369,209700.7184829428,88.51866546346255,Mid-Range,1963,62,2369,Suburb,1963
Rural,Unknown,Unknown,Unknown,2,2,1564,163053.3920501942,104.25408698861521,Budget,1983,42,1564,Rural,1983
Rural,Unknown,Unknown,Unknown,4,2,1897,304004.68986597785,160.25550335581332,High-End,1975,50,1897,Rural,1975
Urban,Unknown,Unknown,Unknown,5,3,2363,308830.9396512381,130.6944306607017,High-End,2004,21,2363,Urban,2004
Urban,Unknown,Unknown,Unknown,3,3,1091,194294.00184175,178.0879943554079,Mid-Range,2012,13,1091,Urban,2012
Urban,Unknown,Unknown,Unknown,5,3,2390,172777.3198326151,72.29176562034104,Budget,2019,6,2390,Urban,2019
Suburb,Unknown,Unknown,Unknown,4,1,1955,197656.07026552537,101.10284924067794,Mid-Range,1995,30,1955,Suburb,1995
Urban,Unknown,Unknown,Unknown,5,3,2478,273365.49912049377,110.31698915274163,High-End,1986,39,2478,Urban,1986
Rural,Unknown,Unknown,Unknown,5,2,2451,216047.21814963987,88.14655983257441,Mid-Range,1972,53,2451,Rural,1972
Urban,Unknown,Unknown,Unknown,4,1,1508,149586.15312931265,99.19506175683863,Budget,1965,60,1508,Urban,1965
Suburb,Unknown,Unknown,Unknown,4,2,1775,214171.08224172727,120.65976464322664,Mid-Range,1981,44,1775,Suburb,1981
Rural,Unknown,Unknown,Unknown,3,2,2966,277419.0001600792,93.53304118681025,High-End,1956,69,2966,Rural,1956
